Site,Specimen,Species,Sex,Mass ,Length,Chironomid,limonia,Simulium,Tabanidae,Tipula,Diptera,Baetis ,Heptagenia,Isonychia,Chimarra,Hydropsyche,Agnetina,Neoperla,Crambidae,Amphipoda,Eggs,Isopoda,Ostracods,Mites
GH14-001,FM1,E. flabellare,M,2.59,6,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
GH14-001,FM2,E. flabellare,M,2.8,6.4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FM3,E. flabellare,M,2.56,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FM4,E. flabellare,M,2.26,5.8,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GH14-001,FM5,E. flabellare,M,3.16,6.7,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
GH14-001,FM6,E. flabellare,M,2.44,6.1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FM7,E. flabellare,M,2.26,6,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FM8,E. flabellare,M,2.31,5.9,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FM9,E. flabellare,M,3.21,6.6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
GH14-001,FM10,E. flabellare,M,3.01,6.5,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FM12,E. flabellare,M,1.87,5.7,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,4,0,0
GH14-001,FM13,E. flabellare,M,2.78,6.2,38,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0
GH14-001,FM15,E. flabellare,M,2.88,2.88,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
GH14-001,FM16,E. flabellare,M,2.06,5.9,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FF1,E. flabellare,F,2.09,5.3,34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FF2,E. flabellare,F,1.69,5.2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FF3,E. flabellare,F,1.86,5.5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FF4,E. flabellare,F,2.53,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GH14-001,FF5,E. flabellare,F,1.98,5.2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FF6,E. flabellare,F,2.03,5.3,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FF7,E. flabellare,F,2.9,5.9,31,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0
GH14-001,FF8,E. flabellare,F,2.29,5.8,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GH14-001,FF9,E. flabellare,F,2.03,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
GH14-001,FF10,E. flabellare,F,1.56,5.2,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FF11,E. flabellare,F,1.45,5.1,36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FF12,E. flabellare,F,1.46,5.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
GH14-001,FF13,E. flabellare,F,2.49,5.8,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FF15,E. flabellare,F,2.1,5.7,5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
GH14-001,FF16,E. flabellare,F,1.28,4.8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH14-001,FF17,E. flabellare,F,0.81,4.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GH14-001,FF18,E. flabellare,F,1.82,5.2,12,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0
GH14-001,FF19,E. flabellare,F,1.29,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GH14-001,FF20,E. flabellare,F,1.49,5,14,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
GH14-001,FF21,E. flabellare,F,1.44,5,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
